titulo,conteudo,resposta,data,texto_limpo,sentimento
Banco não se importa com o cliente n libera limite adicional n aumenta limite do cartão mesmo que vc pague tudo em dia,Tenho um giro no nubank de um valor bom mas mesmo assim o banco n libera condições melhores para mim mesmo reclamando pagando...,False,Há 1 hora,giro nubank valor bom assim banco n libera condicoes melhores mim reclamando pagando,POSITIVO
indignação total.,Eu estou extremamente indignado com o nubank. Meu limite todo mês fala que passa por análise de aumento e não aumenta. Nunca ...,False,Há 1 hora,extremamente indignado nubank limite todo mes fala passa analise aumento nao aumenta nunca,NEGATIVO
Sofri um [Editado pelo Reclame Aqui],"Dia ***** sofri um [Editado pelo Reclame Aqui], entrei em contato com a nubank relatando o acontecido, solicitei a contestaçã...",False,Há 1 hora,dia sofri editado reclame aqui entrei contato nubank relatando acontecido solicitei contestaca,NEGATIVO
Estorno,"No dia *****, realizei uma compra no valor de R$ *****.No entanto, o produto recebido não estava de acordo com o que foi anun...",False,Há 1 hora,dia realizei compra valor r entanto produto recebido nao acordo anun,NEGATIVO
Limite que não aumenta,"Tenho conta no Nubank há pelo menos 7 anos. Atualmente, tenho uma renda de ***** e o meu limite no cartão de crédito é de ***...",False,Há 1 hora,conta nubank ha menos anos atualmente renda limite cartao credito,NEGATIVO
Juros,Estou tentando negociar a dívida e não consigo,False,Há 1 hora,tentando negociar divida nao consigo,NEGATIVO
Compras usando o cartão global são recusadas sem motivo,"Acreditei no marketing do nubank de que a conta global para clientes ultravioleta seria uma boa ideia, mas caí numa cilada.",False,Há 1 hora,acreditei marketing nubank conta global clientes ultravioleta boa ideia cai cilada,POSITIVO
pix errado e banco não devolver,recebi um pix errado na minha conta no valor de R$ ***** e o banco não esta me autorizado a devolver e a pessoa acha que esto...,False,Há 1 hora,recebi pix errado conta valor r banco nao autorizado devolver pessoa acha esto,NEGATIVO
Não é possivel encerrar a conta completamente,Ótimo atendimento...,False,Há 1 hora,otimo atendimento,POSITIVO
Cobranças indevidas falta de abatimento de pagamento valor da caixinha sendo cobradas como dívida,Antecipo minhas fatur e valores não sao abatidos corretamente sendo somados na faturas seguintes .Nubank e seu sistema ...,False,Há 2 horas,antecipo fatur valores nao sao abatidos corretamente sendo somados faturas seguintes nubank sistema,NEGATIVO
